# ['Data file recorded 2013/1/14  7:59:53']
# ['%  keyboard_telem with hall effect ']
# ['%  motorgains    = [300, 0, 300, 0, 50, 300, 0, 300, 0, 50]\r\n%  delta         = [16384', ' 16384', ' 16384', ' 16384]"']
# ['%  intervals     = [128, 128, 128, 128]']
# ['% Columns: ']
# ['% time | Rlegs | Llegs | DCR | DCL | GyroX | GryoY | GryoZ | GryoZAvg | AX | AY | AZ | RBEMF | LBEMF ']
930  12.47  12.59 1324 1252 -1 -1 -1 0 -1 -1 -1 0 0  
933  12.47  12.59 1325 1233 0 0 0 0 0 0 0 0 0  
936  12.47  12.59 1324 1232 0 0 0 0 0 0 0 0 0  
940  12.47  12.59 1342 1232 0 0 0 0 0 0 0 0 0  
943  12.47  12.59 1324 1251 0 0 0 0 0 0 0 0 0  
946  12.47  12.59 1323 1251 0 0 0 0 0 0 0 0 0  
950  12.47  12.59 1325 1233 0 0 0 0 0 0 0 0 0  
953  12.47  12.59 1343 1251 0 0 0 0 0 0 0 0 0  
956  12.47  12.59 1343 1233 0 0 0 0 0 0 0 0 0  
960  12.47  12.59 1323 1251 0 0 0 0 0 0 0 0 0  
963  12.47  12.59 1343 1251 0 0 0 0 0 0 0 0 0  
966  12.47  12.59 1324 1231 0 0 0 0 0 0 0 0 0  
970  12.47  12.59 1343 1233 -1 -1 -1 0 -1 -1 -1 0 0  
973  12.47  12.59 1324 1233 -1 -1 -1 0 -1 -1 -1 0 0  
976  12.47  12.59 1324 1231 -1 -1 -1 0 -1 -1 -1 0 0  
980  12.47  12.59 1343 1251 -1 -1 -1 0 -1 -1 -1 0 0  
983  12.47  12.59 1324 1232 -1 -1 -1 0 -1 -1 -1 0 0  
986  12.47  12.59 1325 1251 -1 -1 -1 0 -1 -1 -1 0 0  
990  12.47  12.59 1324 1233 -1 -1 -1 0 -1 -1 -1 0 0  
993  12.47  12.59 1323 1252 -1 -1 -1 0 -1 -1 -1 0 0  
996  12.47  12.59 1324 1251 -1 -1 -1 0 -1 -1 -1 0 0  
